,n_keywords,n_google_adult,n_serp_adult,n_serp_missing_adult,n_all_adult,label,n_not_adult,%_google_adult,%_serp_missing_adult,%_not_adult
black girls,435,203,334,171,374,"""Black girls"" (435)",61,46.666666666666664,39.310344827586206,14.022988505747128
latina girls,582,342,472,170,512,"""Latina girls"" (582)",70,58.76288659793815,29.20962199312715,12.027491408934708
asian girls,273,189,213,51,240,"""Asian girls"" (273)",33,69.23076923076923,18.681318681318682,12.087912087912088
white girls,1,0,0,0,0,"""White girls"" (1)",1,0.0,0.0,100.0
black boys,122,44,89,54,98,"""Black boys"" (122)",24,36.0655737704918,44.26229508196721,19.672131147540984
latino boys,180,59,151,99,158,"""Latino boys"" (180)",22,32.77777777777778,55.00000000000001,12.222222222222221
asian boys,382,131,290,181,312,"""Asian boys"" (382)",70,34.29319371727749,47.38219895287958,18.32460732984293
white boys,1,0,0,0,0,"""White boys"" (1)",1,0.0,0.0,100.0
